sub_category,product_id,cost_price,list_price,quantity,discount_percent,cost_quantity,discount,sales_price,profit
Bookcases,FUR-BO-10001798,240,260,2,2,480,10.4,509.6,29.600000000000023
Chairs,FUR-CH-10000454,600,730,3,3,1800,65.69999999999999,2124.3,324.3000000000002
Labels,OFF-LA-10000240,10,10,2,5,20,1.0,19.0,-1.0
Tables,FUR-TA-10000577,780,960,5,2,3900,96.0,4704.0,804.0
Storage,OFF-ST-10000760,20,20,2,5,40,2.0,38.0,-2.0
Furnishings,FUR-FU-10001487,50,50,7,3,350,10.5,339.5,-10.5
Art,OFF-AR-10002833,10,10,4,3,40,1.2,38.8,-1.2000000000000028
Phones,TEC-PH-10002275,860,910,6,5,5160,273.0,5187.0,27.0
Binders,OFF-BI-10003910,20,20,3,2,60,1.2000000000000002,58.8,-1.2000000000000028
Appliances,OFF-AP-10002892,90,110,5,3,450,16.5,533.5,83.5
Tables,FUR-TA-10001539,1470,1710,9,3,13230,461.7,14928.3,1698.2999999999993
Phones,TEC-PH-10002033,750,910,4,3,3000,109.2,3530.8,530.8000000000002
Paper,OFF-PA-10002365,20,20,3,3,60,1.7999999999999998,58.2,-1.7999999999999972
Binders,OFF-BI-10003656,360,410,3,2,1080,24.599999999999998,1205.4,125.40000000000009
Appliances,OFF-AP-10002311,60,70,5,5,300,17.5,332.5,32.5
Binders,OFF-BI-10000756,0,0,3,5,0,0.0,0.0,0.0
Storage,OFF-ST-10004186,610,670,6,3,3660,120.60000000000001,3899.4,239.4000000000001
Storage,OFF-ST-10000107,60,60,2,4,120,4.8,115.2,-4.799999999999997
Art,OFF-AR-10003056,10,10,2,4,20,0.8,19.2,-0.8000000000000007
Phones,TEC-PH-10001949,170,210,3,3,510,18.9,611.1,101.10000000000002
Binders,OFF-BI-10002215,20,20,4,2,80,1.6,78.4,-1.5999999999999943
Art,OFF-AR-10000246,20,20,7,4,140,5.6000000000000005,134.4,-5.599999999999994
Appliances,OFF-AP-10001492,50,60,7,3,350,12.6,407.4,57.39999999999998
Chairs,FUR-CH-10002774,60,70,2,4,120,5.6,134.4,14.400000000000006
Tables,FUR-TA-10000577,900,1040,3,5,2700,156.0,2964.0,264.0
Binders,OFF-BI-10001634,10,10,2,5,20,1.0,19.0,-1.0
Accessories,TEC-AC-10003027,80,90,3,3,240,8.100000000000001,261.9,21.899999999999977
Bookcases,FUR-BO-10004834,2740,3080,7,3,19180,646.8000000000001,20913.2,1733.2000000000007
Binders,OFF-BI-10000474,10,10,2,5,20,1.0,19.0,-1.0
Furnishings,FUR-FU-10004848,100,120,3,4,300,14.399999999999999,345.6,45.60000000000002
Envelopes,OFF-EN-10001509,0,0,2,5,0,0.0,0.0,0.0
Art,OFF-AR-10004042,70,90,6,4,420,21.6,518.4,98.39999999999998
Binders,OFF-BI-10001525,10,10,6,5,60,3.0,57.0,-3.0
Art,OFF-AR-10001683,20,20,2,4,40,1.6,38.4,-1.6000000000000014
Paper,OFF-PA-10000249,30,30,3,3,90,2.7,87.3,-2.700000000000003
Phones,TEC-PH-10004977,1020,1100,7,5,7140,385.0,7315.0,175.0
Furnishings,FUR-FU-10003664,180,190,5,4,900,38.0,912.0,12.0
Envelopes,OFF-EN-10002986,90,110,9,2,810,19.8,970.2,160.20000000000005
Bookcases,FUR-BO-10002545,460,530,3,2,1380,31.799999999999997,1558.2,178.20000000000005
Chairs,FUR-CH-10004218,200,210,3,2,600,12.600000000000001,617.4,17.399999999999977
Phones,TEC-PH-10000486,350,370,4,5,1400,74.0,1406.0,6.0
Phones,TEC-PH-10004093,140,150,4,3,560,18.0,582.0,22.0
Storage,OFF-ST-10003479,70,80,2,5,140,8.0,152.0,12.0
Storage,OFF-ST-10003282,90,100,2,4,180,8.0,192.0,12.0
Accessories,TEC-AC-10000171,40,50,2,2,80,2.0,98.0,18.0
Binders,OFF-BI-10003291,20,20,2,5,40,2.0,38.0,-2.0
Storage,OFF-ST-10001713,180,210,4,4,720,33.6,806.4,86.39999999999998
Accessories,TEC-AC-10002167,50,50,3,5,150,7.5,142.5,-7.5
Phones,TEC-PH-10003988,20,20,2,4,40,1.6,38.4,-1.6000000000000014
Binders,OFF-BI-10004410,30,40,6,4,180,9.600000000000001,230.4,50.400000000000006
Labels,OFF-LA-10002762,70,80,6,4,420,19.200000000000003,460.8,40.80000000000001
Furnishings,FUR-FU-10001706,10,10,2,4,20,0.8,19.2,-0.8000000000000007
Chairs,FUR-CH-10003061,70,90,1,5,70,4.5,85.5,15.5
Fasteners,OFF-FA-10000304,20,20,7,3,140,4.2,135.8,-4.199999999999989
Phones,TEC-PH-10002447,850,1030,5,4,4250,206.0,4944.0,694.0
Storage,OFF-ST-10000604,200,210,6,5,1200,63.0,1197.0,-3.0
Paper,OFF-PA-10001569,30,30,5,5,150,7.5,142.5,-7.5
Chairs,FUR-CH-10003968,290,320,5,2,1450,32.0,1568.0,118.0
Paper,OFF-PA-10000587,10,10,2,4,20,0.8,19.2,-0.8000000000000007
Accessories,TEC-AC-10002167,20,30,2,5,40,3.0,57.0,17.0
Binders,OFF-BI-10001460,40,50,4,2,160,4.0,196.0,36.0
